path,module,category,lang,lines,status,note
addon/bin/darwin-arm64/synthesis-sidecar/manifest.json,addon,asset,json,56,pending,
addon/bin/darwin-arm64/synthesis-sidecar/provenance.json,addon,asset,json,9,pending,
addon/bin/darwin-arm64/synthesis-sidecar/synthesis-sidecar,addon,asset,none,32808,pending,
addon/bin/darwin-arm64/zotero-bridge,addon,asset,none,60877,pending,
addon/bin/darwin-arm64/zotero-bridge.sha256,addon,asset,sha256,1,pending,
addon/bin/darwin-x64/.gitkeep,addon,asset,gitkeep,1,pending,
addon/bin/darwin-x64/synthesis-sidecar/LICENSE-AGPL-3.0.txt,addon,asset,text,661,pending,
addon/bin/darwin-x64/synthesis-sidecar/licenses.json,addon,asset,json,279,pending,
addon/bin/darwin-x64/synthesis-sidecar/manifest.json,addon,asset,json,56,pending,
addon/bin/darwin-x64/synthesis-sidecar/provenance.json,addon,asset,json,9,pending,
addon/bin/darwin-x64/synthesis-sidecar/synthesis-sidecar,addon,asset,none,11265,pending,
addon/bin/darwin-x64/zotero-bridge,addon,asset,none,32300,pending,
addon/bin/darwin-x64/zotero-bridge.sha256,addon,asset,sha256,1,pending,
addon/bin/linux-arm/.gitkeep,addon,asset,gitkeep,1,pending,
addon/bin/linux-arm/synthesis-sidecar/LICENSE-AGPL-3.0.txt,addon,asset,text,661,pending,
addon/bin/linux-arm/synthesis-sidecar/licenses.json,addon,asset,json,279,pending,
addon/bin/linux-arm/synthesis-sidecar/manifest.json,addon,asset,json,56,pending,
addon/bin/linux-arm/synthesis-sidecar/provenance.json,addon,asset,json,9,pending,
addon/bin/linux-arm/synthesis-sidecar/synthesis-sidecar,addon,asset,none,77198,pending,
addon/bin/linux-arm/zotero-bridge,addon,asset,none,79841,pending,
addon/bin/linux-arm/zotero-bridge.sha256,addon,asset,sha256,1,pending,
addon/bin/linux-arm64/.gitkeep,addon,asset,gitkeep,1,pending,
addon/bin/linux-arm64/synthesis-sidecar/LICENSE-AGPL-3.0.txt,addon,asset,text,661,pending,
addon/bin/linux-arm64/synthesis-sidecar/licenses.json,addon,asset,json,279,pending,
addon/bin/linux-arm64/synthesis-sidecar/manifest.json,addon,asset,json,56,pending,
addon/bin/linux-arm64/synthesis-sidecar/provenance.json,addon,asset,json,9,pending,
addon/bin/linux-arm64/synthesis-sidecar/synthesis-sidecar,addon,asset,none,42887,pending,
addon/bin/linux-arm64/zotero-bridge,addon,asset,none,70295,pending,
addon/bin/linux-arm64/zotero-bridge.sha256,addon,asset,sha256,1,pending,
addon/bin/linux-x64/.gitkeep,addon,asset,gitkeep,1,pending,
addon/bin/linux-x64/synthesis-sidecar/LICENSE-AGPL-3.0.txt,addon,asset,text,661,pending,
addon/bin/linux-x64/synthesis-sidecar/licenses.json,addon,asset,json,279,pending,
addon/bin/linux-x64/synthesis-sidecar/manifest.json,addon,asset,json,56,pending,
addon/bin/linux-x64/synthesis-sidecar/provenance.json,addon,asset,json,9,pending,
addon/bin/linux-x64/synthesis-sidecar/synthesis-sidecar,addon,asset,none,17464,pending,
addon/bin/linux-x64/zotero-bridge,addon,asset,none,35809,pending,
addon/bin/linux-x64/zotero-bridge.sha256,addon,asset,sha256,1,pending,
addon/bin/linux-x86/.gitkeep,addon,asset,gitkeep,1,pending,
addon/bin/linux-x86/synthesis-sidecar/LICENSE-AGPL-3.0.txt,addon,asset,text,661,pending,
addon/bin/linux-x86/synthesis-sidecar/licenses.json,addon,asset,json,279,pending,
addon/bin/linux-x86/synthesis-sidecar/manifest.json,addon,asset,json,56,pending,
addon/bin/linux-x86/synthesis-sidecar/provenance.json,addon,asset,json,9,pending,
addon/bin/linux-x86/synthesis-sidecar/synthesis-sidecar,addon,asset,none,15251,pending,
addon/bin/linux-x86/zotero-bridge,addon,asset,none,33040,pending,
addon/bin/linux-x86/zotero-bridge.sha256,addon,asset,sha256,1,pending,
addon/bin/win32-x64/.gitkeep,addon,asset,gitkeep,1,pending,
addon/bin/win32-x64/synthesis-sidecar/LICENSE-AGPL-3.0.txt,addon,asset,text,661,pending,
addon/bin/win32-x64/synthesis-sidecar/licenses.json,addon,asset,json,279,pending,
addon/bin/win32-x64/synthesis-sidecar/manifest.json,addon,asset,json,56,pending,
addon/bin/win32-x64/synthesis-sidecar/provenance.json,addon,asset,json,9,pending,
addon/bin/win32-x64/synthesis-sidecar/synthesis-sidecar.exe,addon/bin,asset,exe,0,pending,
addon/bin/win32-x64/zotero-acp-bridge.exe,addon/bin,asset,exe,0,pending,
addon/bin/win32-x64/zotero-acp-bridge.exe.sha256,addon,asset,sha256,1,pending,
addon/bin/win32-x64/zotero-bridge.exe,addon/bin,asset,exe,0,pending,
addon/bin/win32-x64/zotero-bridge.exe.sha256,addon,asset,sha256,1,pending,
addon/bin/zotero-bridge-release.json,addon,asset,json,75,pending,
addon/bootstrap.js,addon,asset,javascript,83,pending,
addon/content/acp-runtime-prompts/templates/acp_chat_startup_preamble.md,addon,asset,markdown,9,pending,
addon/content/acp-runtime-prompts/templates/acp_chat_workspace_agents.md,addon,asset,markdown,7,pending,
addon/content/acp-runtime-prompts/templates/acp_skills_startup_preamble.md,addon,asset,markdown,9,pending,
addon/content/acp-runtime-prompts/templates/interaction_file_reply.md,addon,asset,markdown,5,pending,
addon/content/acp-runtime-prompts/templates/mcp_required_guard.md,addon,asset,markdown,4,pending,
addon/content/acp-runtime-prompts/templates/recovered_continuation_guard.md,addon,asset,markdown,17,pending,
addon/content/acp-skill-patches/templates/patch_mode_auto.md,addon,asset,markdown,12,pending,
addon/content/acp-skill-patches/templates/patch_mode_interactive.md,addon,asset,markdown,16,pending,
addon/content/acp-skill-patches/templates/patch_output_contract_details.md,addon,asset,markdown,26,pending,
addon/content/acp-skill-patches/templates/patch_output_contract_interactive_pending.md,addon,asset,markdown,18,pending,
addon/content/acp-skill-patches/templates/patch_output_format_contract.md,addon,asset,markdown,10,pending,
addon/content/acp-skill-patches/templates/patch_resource_mapping.md,addon,asset,markdown,9,pending,
addon/content/acp-skill-patches/templates/patch_runtime_enforcement.md,addon,asset,markdown,13,pending,
addon/content/acp-skill-patches/templates/patch_skill_run_feedback.md.j2,addon,asset,jinja,9,pending,
addon/content/acp-skill-patches/templates/prompt_body_common.md,addon,asset,markdown,7,pending,
addon/content/acp-skill-patches/templates/run_execution_instructions.md.j2,addon,asset,jinja,44,pending,
addon/content/components/custom-select.css,addon,asset,css,119,pending,
addon/content/dashboard/backend-manager.css,addon,asset,css,580,pending,
addon/content/dashboard/backend-manager.html,addon,asset,html,26,pending,
addon/content/dashboard/index.html,addon,asset,html,43,pending,
addon/content/dashboard/styles.css,addon,asset,css,3198,pending,
addon/content/dashboard/workflow-settings-dialog.css,addon,asset,css,434,pending,
addon/content/dashboard/workflow-settings-dialog.html,addon,asset,html,31,pending,
addon/content/harness/harness-host.js,addon,asset,javascript,498,pending,
addon/content/harness/index.html,addon,asset,html,57,pending,
addon/content/harness/prototype-source-switching.html,addon,asset,html,1329,pending,
addon/content/harness/prototype-workspace.html,addon,asset,html,618,pending,
addon/content/harness/styles.css,addon,asset,css,111,pending,
addon/content/help-center/index.html,addon,asset,html,678,pending,
addon/content/help-docs/assets/img/docs/backends/backend-manager_ACP-preset.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/backends/backend-manager_ACP.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/backends/backend-manager_generic-HTTP.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/backends/backend-manager_skillrunner.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/dashboard_acp-backend.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/dashboard_home.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/dashboard_logs.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/dashboard_products.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/dashboard_skill-feedback.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/dashboard_skillrunner-backend.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/dashboard_workflow-settings.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/markdown-reader.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/preferences_WebDAV-sync.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/preferences_host-bridge.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/preferences_host-bridge_expand.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/preferences_official-workflow-contents.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/preferences_skillrunner-local-backend.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/preferences_storage-and-persistence.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/preferences_workflow.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/sidebar/acp-chat.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/sidebar/acp-skills.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/sidebar/skillrunner-tab.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/synthesis/citation-graph.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/synthesis/concepts.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/synthesis/home.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/synthesis/index.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/synthesis/index_canonical-revision.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/synthesis/review.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/synthesis/tags.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/synthesis/topic-graph.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/literature-analysis_citation-analysis.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/literature-analysis_digest.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/literature-analysis_references.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/literature-deep-reading_1.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/literature-deep-reading_2.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/literature-deep-reading_3.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/literature-deep-reading_4.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/literature-explainer_note.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/topic-synthesis_claims.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/topic-synthesis_compare.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/topic-synthesis_coverage.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/topic-synthesis_future-directions.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/topic-synthesis_overview.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/topic-synthesis_references.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/topic-synthesis_report.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/topic-synthesis_subgraph.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/docs/workflows/topic-synthesis_taxonomy.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/icon_play.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/icon_sidebar.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/icon_sidebar_glow.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/icon_workbench.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/poster.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/assets/img/zotero-addons_icon.webp,addon/content,asset,webp,0,pending,
addon/content/help-docs/docs/de/backends/acp.md,help-docs,generated,markdown,130,pending,
addon/content/help-docs/docs/de/backends/backend-manager.md,help-docs,generated,markdown,183,pending,
addon/content/help-docs/docs/de/backends/generic-http.md,help-docs,generated,markdown,50,pending,
addon/content/help-docs/docs/de/backends/hermes-profiles.md,help-docs,generated,markdown,239,pending,
addon/content/help-docs/docs/de/backends/host-bridge.md,help-docs,generated,markdown,488,pending,
addon/content/help-docs/docs/de/backends/index.md,help-docs,generated,markdown,58,pending,
addon/content/help-docs/docs/de/backends/mcp-server.md,help-docs,generated,markdown,161,pending,
addon/content/help-docs/docs/de/backends/skill-runner.md,help-docs,generated,markdown,410,pending,
addon/content/help-docs/docs/de/backends/zotero-library-agent.md,help-docs,generated,markdown,97,pending,
addon/content/help-docs/docs/de/dashboard.md,help-docs,generated,markdown,118,pending,
addon/content/help-docs/docs/de/getting-started.md,help-docs,generated,markdown,106,pending,
addon/content/help-docs/docs/de/installation.md,help-docs,generated,markdown,69,pending,
addon/content/help-docs/docs/de/intro.md,help-docs,generated,markdown,63,pending,
addon/content/help-docs/docs/de/markdown-reader.md,help-docs,generated,markdown,61,pending,
addon/content/help-docs/docs/de/preferences.md,help-docs,generated,markdown,157,pending,
addon/content/help-docs/docs/de/sidebar/acp-chat.md,help-docs,generated,markdown,194,pending,
addon/content/help-docs/docs/de/sidebar/acp-skills.md,help-docs,generated,markdown,122,pending,
addon/content/help-docs/docs/de/sidebar/index.md,help-docs,generated,markdown,60,pending,
addon/content/help-docs/docs/de/sidebar/skillrunner-tab.md,help-docs,generated,markdown,111,pending,
addon/content/help-docs/docs/de/synthesis/concepts.md,help-docs,generated,markdown,95,pending,
addon/content/help-docs/docs/de/synthesis/home.md,help-docs,generated,markdown,70,pending,
addon/content/help-docs/docs/de/synthesis/index-and-citation.md,help-docs,generated,markdown,170,pending,
addon/content/help-docs/docs/de/synthesis/index.md,help-docs,generated,markdown,111,pending,
addon/content/help-docs/docs/de/synthesis/review.md,help-docs,generated,markdown,88,pending,
addon/content/help-docs/docs/de/synthesis/tags.md,help-docs,generated,markdown,85,pending,
addon/content/help-docs/docs/de/synthesis/topic-synthesis.md,help-docs,generated,markdown,161,pending,
addon/content/help-docs/docs/de/synthesis/webdav-sync.md,help-docs,generated,markdown,118,pending,
addon/content/help-docs/docs/de/workflows/collection-collector.md,help-docs,generated,markdown,29,pending,
addon/content/help-docs/docs/de/workflows/custom/debugging.md,help-docs,generated,markdown,120,pending,
addon/content/help-docs/docs/de/workflows/custom/hooks.md,help-docs,generated,markdown,431,pending,
addon/content/help-docs/docs/de/workflows/custom/host-api.md,help-docs,generated,markdown,372,pending,
addon/content/help-docs/docs/de/workflows/custom/index.md,help-docs,generated,markdown,125,pending,
addon/content/help-docs/docs/de/workflows/custom/localization.md,help-docs,generated,markdown,127,pending,
addon/content/help-docs/docs/de/workflows/custom/manifest.md,help-docs,generated,markdown,359,pending,
addon/content/help-docs/docs/de/workflows/custom/packaging.md,help-docs,generated,markdown,120,pending,
addon/content/help-docs/docs/de/workflows/custom/parameters.md,help-docs,generated,markdown,224,pending,
addon/content/help-docs/docs/de/workflows/custom/request-kinds.md,help-docs,generated,markdown,256,pending,
addon/content/help-docs/docs/de/workflows/custom/selection-context.md,help-docs,generated,markdown,65,pending,
addon/content/help-docs/docs/de/workflows/debug-probe.md,help-docs,generated,markdown,71,pending,
addon/content/help-docs/docs/de/workflows/export-import-literature-bundle.md,help-docs,generated,markdown,84,pending,
addon/content/help-docs/docs/de/workflows/export-import-notes.md,help-docs,generated,markdown,85,pending,
addon/content/help-docs/docs/de/workflows/export-research-bundle.md,help-docs,generated,markdown,64,pending,
addon/content/help-docs/docs/de/workflows/index.md,help-docs,generated,markdown,101,pending,
addon/content/help-docs/docs/de/workflows/invocation.md,help-docs,generated,markdown,66,pending,
addon/content/help-docs/docs/de/workflows/literature-analysis.md,help-docs,generated,markdown,130,pending,
addon/content/help-docs/docs/de/workflows/literature-deep-reading.md,help-docs,generated,markdown,100,pending,
addon/content/help-docs/docs/de/workflows/literature-explainer.md,help-docs,generated,markdown,93,pending,
addon/content/help-docs/docs/de/workflows/literature-metadata-curator.md,help-docs,generated,markdown,60,pending,
addon/content/help-docs/docs/de/workflows/literature-search-ingest.md,help-docs,generated,markdown,55,pending,
addon/content/help-docs/docs/de/workflows/literature-translator.md,help-docs,generated,markdown,63,pending,
addon/content/help-docs/docs/de/workflows/manuscript-literature-framing.md,help-docs,generated,markdown,112,pending,
addon/content/help-docs/docs/de/workflows/mineru.md,help-docs,generated,markdown,135,pending,
addon/content/help-docs/docs/de/workflows/tag-auditor.md,help-docs,generated,markdown,42,pending,
addon/content/help-docs/docs/de/workflows/tag-bootstrapper.md,help-docs,generated,markdown,75,pending,
addon/content/help-docs/docs/de/workflows/tag-regulator.md,help-docs,generated,markdown,126,pending,
addon/content/help-docs/docs/de/workflows/topic-synthesis.md,help-docs,generated,markdown,128,pending,
addon/content/help-docs/docs/en/backends/acp.md,help-docs,generated,markdown,135,pending,
addon/content/help-docs/docs/en/backends/backend-manager.md,help-docs,generated,markdown,176,pending,
addon/content/help-docs/docs/en/backends/generic-http.md,help-docs,generated,markdown,50,pending,
addon/content/help-docs/docs/en/backends/hermes-profiles.md,help-docs,generated,markdown,239,pending,
addon/content/help-docs/docs/en/backends/host-bridge.md,help-docs,generated,markdown,490,pending,
addon/content/help-docs/docs/en/backends/index.md,help-docs,generated,markdown,58,pending,
addon/content/help-docs/docs/en/backends/mcp-server.md,help-docs,generated,markdown,161,pending,
addon/content/help-docs/docs/en/backends/skill-runner.md,help-docs,generated,markdown,410,pending,
addon/content/help-docs/docs/en/backends/zotero-library-agent.md,help-docs,generated,markdown,97,pending,
addon/content/help-docs/docs/en/dashboard.md,help-docs,generated,markdown,118,pending,
addon/content/help-docs/docs/en/getting-started.md,help-docs,generated,markdown,106,pending,
addon/content/help-docs/docs/en/installation.md,help-docs,generated,markdown,69,pending,
addon/content/help-docs/docs/en/intro.md,help-docs,generated,markdown,63,pending,
addon/content/help-docs/docs/en/markdown-reader.md,help-docs,generated,markdown,61,pending,
addon/content/help-docs/docs/en/preferences.md,help-docs,generated,markdown,157,pending,
addon/content/help-docs/docs/en/sidebar/acp-chat.md,help-docs,generated,markdown,194,pending,
addon/content/help-docs/docs/en/sidebar/acp-skills.md,help-docs,generated,markdown,122,pending,
addon/content/help-docs/docs/en/sidebar/index.md,help-docs,generated,markdown,60,pending,
addon/content/help-docs/docs/en/sidebar/skillrunner-tab.md,help-docs,generated,markdown,111,pending,
addon/content/help-docs/docs/en/synthesis/concepts.md,help-docs,generated,markdown,95,pending,
addon/content/help-docs/docs/en/synthesis/home.md,help-docs,generated,markdown,66,pending,
addon/content/help-docs/docs/en/synthesis/index-and-citation.md,help-docs,generated,markdown,170,pending,
addon/content/help-docs/docs/en/synthesis/index.md,help-docs,generated,markdown,111,pending,
addon/content/help-docs/docs/en/synthesis/review.md,help-docs,generated,markdown,88,pending,
addon/content/help-docs/docs/en/synthesis/tags.md,help-docs,generated,markdown,85,pending,
addon/content/help-docs/docs/en/synthesis/topic-synthesis.md,help-docs,generated,markdown,161,pending,
addon/content/help-docs/docs/en/synthesis/webdav-sync.md,help-docs,generated,markdown,118,pending,
addon/content/help-docs/docs/en/workflows/collection-collector.md,help-docs,generated,markdown,29,pending,
addon/content/help-docs/docs/en/workflows/custom/debugging.md,help-docs,generated,markdown,123,pending,
addon/content/help-docs/docs/en/workflows/custom/hooks.md,help-docs,generated,markdown,436,pending,
addon/content/help-docs/docs/en/workflows/custom/host-api.md,help-docs,generated,markdown,388,pending,
addon/content/help-docs/docs/en/workflows/custom/index.md,help-docs,generated,markdown,125,pending,
addon/content/help-docs/docs/en/workflows/custom/localization.md,help-docs,generated,markdown,127,pending,
addon/content/help-docs/docs/en/workflows/custom/manifest.md,help-docs,generated,markdown,412,pending,
addon/content/help-docs/docs/en/workflows/custom/packaging.md,help-docs,generated,markdown,121,pending,
addon/content/help-docs/docs/en/workflows/custom/parameters.md,help-docs,generated,markdown,224,pending,
addon/content/help-docs/docs/en/workflows/custom/request-kinds.md,help-docs,generated,markdown,256,pending,
addon/content/help-docs/docs/en/workflows/custom/selection-context.md,help-docs,generated,markdown,65,pending,
addon/content/help-docs/docs/en/workflows/debug-probe.md,help-docs,generated,markdown,71,pending,
addon/content/help-docs/docs/en/workflows/export-import-literature-bundle.md,help-docs,generated,markdown,84,pending,
addon/content/help-docs/docs/en/workflows/export-import-notes.md,help-docs,generated,markdown,85,pending,
addon/content/help-docs/docs/en/workflows/export-research-bundle.md,help-docs,generated,markdown,68,pending,
addon/content/help-docs/docs/en/workflows/index.md,help-docs,generated,markdown,102,pending,
addon/content/help-docs/docs/en/workflows/invocation.md,help-docs,generated,markdown,66,pending,
addon/content/help-docs/docs/en/workflows/literature-analysis.md,help-docs,generated,markdown,130,pending,
addon/content/help-docs/docs/en/workflows/literature-deep-reading.md,help-docs,generated,markdown,100,pending,
addon/content/help-docs/docs/en/workflows/literature-explainer.md,help-docs,generated,markdown,93,pending,
addon/content/help-docs/docs/en/workflows/literature-metadata-curator.md,help-docs,generated,markdown,62,pending,
addon/content/help-docs/docs/en/workflows/literature-search-ingest.md,help-docs,generated,markdown,55,pending,
addon/content/help-docs/docs/en/workflows/literature-translator.md,help-docs,generated,markdown,63,pending,
addon/content/help-docs/docs/en/workflows/manuscript-literature-framing.md,help-docs,generated,markdown,112,pending,
addon/content/help-docs/docs/en/workflows/mineru.md,help-docs,generated,markdown,136,pending,
addon/content/help-docs/docs/en/workflows/tag-auditor.md,help-docs,generated,markdown,42,pending,
addon/content/help-docs/docs/en/workflows/tag-bootstrapper.md,help-docs,generated,markdown,75,pending,
addon/content/help-docs/docs/en/workflows/tag-regulator.md,help-docs,generated,markdown,126,pending,
addon/content/help-docs/docs/en/workflows/topic-synthesis.md,help-docs,generated,markdown,128,pending,
addon/content/help-docs/docs/es/backends/acp.md,help-docs,generated,markdown,130,pending,
addon/content/help-docs/docs/es/backends/backend-manager.md,help-docs,generated,markdown,183,pending,
addon/content/help-docs/docs/es/backends/generic-http.md,help-docs,generated,markdown,50,pending,
addon/content/help-docs/docs/es/backends/hermes-profiles.md,help-docs,generated,markdown,239,pending,
addon/content/help-docs/docs/es/backends/host-bridge.md,help-docs,generated,markdown,488,pending,
addon/content/help-docs/docs/es/backends/index.md,help-docs,generated,markdown,58,pending,
addon/content/help-docs/docs/es/backends/mcp-server.md,help-docs,generated,markdown,161,pending,
addon/content/help-docs/docs/es/backends/skill-runner.md,help-docs,generated,markdown,410,pending,
